mol_smiles	conductivity
CN(CC(=O)N(C)C)CC(COC(=O)[Au])O[Cu]	1
COCCCN(CCNC(=O)[Au])CCO[Cu]	1
CCCC(C)CN(CCN[Cu])CCNC(=O)[Au]	1
COC(=O)CCN(C)CC(COC(=O)[Au])O[Cu]	0
CC(O[Cu])C(COC(=O)[Au])NC(=O)CCS	0
CC(C)OCC(=O)NCC(CO[Cu])OC(=O)[Au]	1
O=C([Au])OCCCOCCN[Cu]	1
O=C([Au])OC(CNCCP(=O)(O)O)CO[Cu]	1
O=C([Au])NCCC(=O)NCCCO[Cu]	1
N#CCN(CCCOC(=O)[Au])CCO[Cu]	1
O=C([Au])NCC(F)CO[Cu]	0
CC(CO[Cu])OCC(C)OC(=O)[Au]	1
CC(CCNC(=O)C(OC(=O)[Au])C(C)C)O[Cu]	0
CN(CC(N)=O)CC(CO[Cu])OC(=O)[Au]	1
O=C(COCCN[Cu])NCCCCOC(=O)[Au]	1
O=C([Au])OC(CNCCP(=O)(O)O)CO[Cu]	1
C#CCOCCN(C)CC(COC(=O)[Au])O[Cu]	1
C=CC(CO[Cu])NCCCCOC(=O)[Au]	1
COCC(CNCCN[Cu])OC(=O)[Au]	0
CCC(C)C(COC(=O)[Au])NC(=O)CCO[Cu]	0
CN(CCCCCCO[Cu])CCNC(=O)[Au]	1
CC(CO[Cu])OC(C)COC(=O)[Au]	1
CC(CCO[Cu])NCC=CCOC(=O)[Au]	1
COCCC(C)NC(=O)C(COC(=O)[Au])N[Cu]	0
CCN(CCO[Cu])CC(COC)OC(=O)[Au]	1
CC(C)(CNC(=O)C(C)(C)NC(=O)[Au])N[Cu]	0
CN(CCCOC(=O)[Au])C(CO[Cu])C(C)(C)C	0
CC(C)C(CNC(C)C(C)CO[Cu])OC(=O)[Au]	0
N#CCCN(CCCOC(=O)[Au])CCO[Cu]	1
COC(C)CNC(=O)C(CCNC(=O)[Au])N[Cu]	0
CC(C)(CNC(COC(=O)[Au])C(C)(C)C)O[Cu]	0
O=C([Au])NCCS(=O)(=S)OCCN[Cu]	0
CCCC(OC(=O)[Au])C(=O)NC(C)(C)CO[Cu]	0
CCC(CNCCOCCCO[Cu])OC(=O)[Au]	1
CN(CCO[Cu])C(=O)C(OC(=O)[Au])C(C)(C)C	0
CC(CCN(C)CCOCCOC(=O)[Au])O[Cu]	1
C=CCCCCNC(CO[Cu])COC(=O)[Au]	0
CCC(CC)CN(C)CC(CO[Cu])OC(=O)[Au]	0
COCCN(CCOC(=O)[Au])CC(C)O[Cu]	1
O=C([Au])OCCC=CCCO[Cu]	0
CCN(CCOCCO[Cu])CC(C)OC(=O)[Au]	1
CCCC(O[Cu])C(=O)NCC(C)NC(=O)[Au]	0
COCCNC(=O)C(NC(=O)[Au])C(C)(C)O[Cu]	0
CC(C)C#CC(=O)NCC(OC(=O)[Au])C(C)O[Cu]	0
C=CC(C)(CNC(COC(=O)[Au])C(N)=O)O[Cu]	1
O=C([Au])NCCNCCCN[Cu]	1
CS(C)(=O)=NC(=O)C(CO[Cu])NC(=O)[Au]	0
CN(CCCOC(=O)[Au])CCO[Cu]	1
CCC(C)CN(CCCOC(=O)[Au])CCO[Cu]	0
CC(CC(C)(C)OC(=O)[Au])O[Cu]	0
O=C([Au])NCCNCCN[Cu]	1
CC(CCOC(=O)[Au])N(C)CCOCCO[Cu]	1
CCC(CNCCOCCCO[Cu])OC(=O)[Au]	1
CCN(CCCCCOC(=O)[Au])CCCO[Cu]	1
CC(COC(=O)C(OC(=O)[Au])C(C)(C)C)O[Cu]	0
COCCC(=O)NC(C)(CO[Cu])COC(=O)[Au]	0
